计数,名称,内容,位置 X,位置 Y,位置 Z,直径,中心 X,中心 Y,中心 Z
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-381.60},8045.4854,5064.6707,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-300.77},8763.2295,5356.3593,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;34.49},8559.5191,4612.4046,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-339.51},8549.7220,4598.7054,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;34.81},8052.4614,5083.2443,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-373.57},7280.5023,4859.8497,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;34.42},7553.0493,4899.7052,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-405.39},7301.8519,4717.1430,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;34.34},7292.3449,4871.9963,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-395.62},7763.7046,4765.8224,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;34.50},8319.8115,4961.1391,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-355.00},7547.0744,4884.0922,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;34.48},7771.2203,4779.1068,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;32.42},5553.1939,4117.8653,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-317.52},5544.9928,4104.0706,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;32.35},6004.2644,4108.4146,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-374.97},5998.8969,4093.6369,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;31.85},5965.3792,3092.8468,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-468.01},5956.8381,3070.5166,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;31.98},5514.5096,3611.2350,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-340.87},5508.9738,3594.5918,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-307.62},5553.2926,4626.2840,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;32.44},5867.9073,4844.2298,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-322.77},5862.6205,4828.5222,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;32.86},6300.6091,4825.6789,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-364.85},6292.5919,4809.1488,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-295.51},5335.7172,4350.0684,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;32.11},5563.8020,4644.2295,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;32.59},6040.2311,4626.0622,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-333.25},6035.5332,4612.0041,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;32.29},7015.6952,2697.8044,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-572.60},7016.3417,2680.1580,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-616.12},6424.3326,2538.6214,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-632.83},7423.8533,2462.9293,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-548.25},7457.8228,3303.1725,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;33.13},7030.2790,3759.0639,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-572.85},6993.4701,3250.5829,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;32.75},7469.2980,3319.1725,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;31.91},6429.9950,2555.8917,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;32.07},6390.9540,1818.7245,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-226.87},6383.8351,1800.6910,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;31.95},5490.6465,2919.4563,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-453.99},5488.3495,2898.3085,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;31.84},6411.1531,2285.7055,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-630.65},6400.8253,2271.1193,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;32.14},7268.0642,1881.3446,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-442.26},7257.8091,1862.2002,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-657.73},10597.9022,3705.3385,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;34.04},10384.0906,3943.1948,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-574.39},9994.0653,3903.6134,0.0000,,,,
